Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4342,0,20,21.98373770144528,3.749999996216502,303.15329999575624,520.0,47.441517567717305,0.0,20,21,22,23,25,27,31,160,290,300,300
GET,/board,4386,0,19,22.65572430456313,3.804899999522604,308.0937000049744,1019.0,47.922269933672986,0.0,19,21,22,23,25,27,32,180,290,310,310
GET,/book/Spring%20Festival/Iron%20Temple,4301,0,20,23.993167286756062,4.234599997289479,309.10279999807244,1658.0,46.9935437721677,0.0,20,22,23,24,26,29,93,180,280,310,310
GET,/logout,6,0,37,36.45518333238821,31.699099999968894,38.09380000166129,520.0,0.06555714081213815,0.0,37,37,38,38,38,38,38,38,38,38,38
POST,/purchasePlaces,4446,0,20,23.050032613583845,4.320600004575681,310.1180000012391,1652.0,48.57784134179437,0.0,20,22,23,24,26,28,34,160,290,310,310
POST,/showSummary,4451,0,20,23.416792046700607,4.158299998380244,310.70739999995567,1476.0,48.63247229247115,0.0,20,22,23,23,26,28,36,180,290,310,310
,Aggregated,21932,0,20,23.02313176635417,3.749999996216502,310.70739999995567,1266.4517599854094,239.63320204863564,0.0,20,22,23,23,26,28,35,170,290,310,310
