Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2504,0,20,23.349759944084436,3.2917999997152947,252.26889999976265,496.0,55.65154537713431,0.0,20,23,24,26,31,38,52,73,240,250,250
GET,/book/Spring%20Festival/Iron%20Temple,2519,0,20,23.708172052394183,3.4258999994563055,252.41509999978007,605.8185788011116,55.98492124800372,0.0,20,23,24,26,32,42,55,150,250,250,250
GET,/logout,6,0,34,34.018416666640405,32.988499999191845,35.429499999736436,496.0,0.1333503483477659,0.0,34,34,35,35,35,35,35,35,35,35,35
POST,/purchasePlaces,2489,0,21,23.820371072708515,3.906699999788543,240.8727000001818,904.1269586179188,55.318169506264894,0.0,21,23,25,26,32,40,53,66,230,240,240
POST,/showSummary,2553,0,21,23.960972933804857,3.648099999736587,252.74590000026365,809.1461026243635,56.7405732219744,0.0,21,23,25,26,32,42,53,88,240,250,250
,Aggregated,10071,0,21,23.717015420508748,3.2917999997152947,252.74590000026365,703.7175057094628,223.82855970172508,0.0,21,23,25,26,32,41,53,87,240,250,250
